school,city,state,zip
Renaissance Academy,Lehi ,UT ,84043-6538 
Cottonwood High School,Murray,UT ,84121
North Ogden Junior High School,North Ogden ,UT ,84414
Bates Elementary,North Ogden ,UT ,84414-1737 
Uintah Elementary,Ogden ,UT ,84403-5322 
Cascade Elementary,Orem ,UT ,84097
Orem High School,Orem ,UT ,84097
Aspen Elementary,Orem ,UT ,84057-8616 
Canyon View Jr. High ,Orem ,UT ,84097-3443 
Timpview High School,Provo ,UT ,84601
Wasatch Elementary,Provo ,UT ,84604-3537 
Centennial Middle School ,Provo ,UT ,84604-5814 
North Cache Middle School,Richmond ,UT ,84333
Oquirrh Hills Middle School,Riverton,UT ,84065
Riverton High School,Riverton,UT ,84065
Southland Elementary,Riverton,UT ,84065
South Hills Middle School,Riverton ,UT ,84065
Foothills Elementary,Riverton ,UT ,84096
Southland Elementary,Riverton ,UT ,84065-6729 
Oquirrh Middle School,Riverton ,UT ,84065-6749 
Foothills Elementary,Riverton ,UT ,84096-6480 
Bloomington Elementary,Saint George ,UT ,84790-7920 
Alta High School,Sandy ,UT ,84084
Lone Peak Elementary,Sandy ,UT ,84092-5565 
Indian Hills Middle School,Sandy ,UT ,84094-5664 
Arrowhead Elementary,Santa Clara ,UT ,84765
Lava Ridge Intermediate,Santa Clara ,UT ,84765
Santa Clara Elementary,Santa Clara ,UT ,84765-5109 
Arrowhead Elementary,Santa Clara ,UT ,84765-5495 
Vista Heights Middle School,Saratoga Springs ,UT ,84045
Riverview Elementary,Saratoga Springs ,UT ,84045-6651 
Mountain Creek Middle School,South Jordan ,UT ,84009
Bingham High School,South Jordan ,UT ,84095
Herriman High School,South Jordan ,UT ,84096
Eastlake Elementary,South Jordan ,UT ,84009-7781 
Monte Vista Elementary,South Jordan ,UT ,84095-8431 
South Jordan Middle School,South Jordan ,UT ,84095-8971 
South Ogden Junior High School,South Ogden ,UT ,84405-3313 
Springville Junior High School,Springville ,UT ,84663
Sage Creek Elementary,Springville ,UT ,84663-2876 
Tonaquint Intermediate,St. George,UT ,84770
Sunrise Ridge Intermediate School,St. George,UT ,84790
Syracuse Junior High,Syracuse ,UT ,84075-6936 
Syracuse Elementary,Syracuse ,UT ,84075-6937 
Taylorsville High School,Taylorsville ,UT ,84123
Calvin Smith Elementary,Taylorsville ,UT ,84129-1473 
Bennion Junior High,Taylorsville ,UT ,84129-5134 
Tooele High School,Tooele ,UT ,84074
Tooele Junior High,Tooele ,UT ,84074
Northlake Elementary,Tooele ,UT ,84074-1311 
Horizon Elementary,Washington ,UT ,84780-8305 
Bonneville High School,Washington Terrace,UT ,84405
Gates Elementary,Chesterfield ,VA,23832
International Friends School,Bellevue,WA ,98005
Bel-Red Academy ,Bellevue,WA , 98007
The International Academy,Bellevue ,WA ,98006-1639 
Jing Mei Elementary,Bellevue ,WA ,98006-2920 
Tillicum Middle School,Bellevue ,WA ,98006-3702 
Naselle School,Naselle ,WA ,98638-8541 
Chief Sealth International High School,Seattle ,WA ,98126
Mercer International Middle School,Seattle ,WA ,98108-1565 
Dearborne Park International Elementary School,Seattle ,WA ,98108-3066 
Beacon Hill International School,Seattle ,WA ,98144-4205 
Columbia River High school,Vancouver ,WA ,98665
Jason Lee Middle School,Vancouver ,WA ,98665
Ben Franklin Elementary School,Vancouver ,WA ,98663-1636 
Verona Area International School,Verona,WI ,53593
CY Middle School,Casper ,WY ,82604
Paradise Valley Elementary,Casper ,WY ,82604-4037 
